id_registro,fecha,producto,categoria,proveedor,almacen,stock_actual,stock_minimo,stock_maximo,unidades_vendidas,unidades_recibidas,costo_unitario,precio_venta,valor_stock,estado_stock
1,2025-01-03,Teclado Redragon K552,Accesorios,Global Retail Peru,Almacen Sur,78,15,70,5,1,75.00,120.00,5850.00,Sobrestock
2,2025-01-06,Tinta Epson Original,Impresion,Importaciones Norte,Almacen Oriente,30,20,95,10,8,32.00,55.00,960.00,Normal
3,2025-01-09,Tablet Samsung Galaxy Tab,Moviles,TechImport SAC,Almacen Norte,39,25,120,15,15,680.00,950.00,26520.00,Normal
4,2025-01-12,Router TP-Link Archer,Redes,Global Retail Peru,Almacen Centro,48,30,85,20,22,145.00,230.00,6960.00,Normal
5,2025-01-15,Laptop Lenovo IdeaPad,Computo,Importaciones Norte,Almacen Lima Central,30,35,110,25,29,2100.00,2850.00,63000.00,Critico
6,2025-01-18,Mouse Logitech M170,Accesorios,TechImport SAC,Almacen Sur,158,40,135,30,36,28.00,45.00,4424.00,Sobrestock
7,2025-01-21,Impresora Epson EcoTank,Impresion,Global Retail Peru,Almacen Oriente,75,45,100,35,43,470.00,650.00,35250.00,Normal
8,2025-01-24,Smartphone Xiaomi Redmi Note,Moviles,Importaciones Norte,Almacen Norte,44,10,85,5,5,780.00,1100.00,34320.00,Normal
9,2025-01-27,Escritorio Melamina 120cm,Oficina,TechImport SAC,Almacen Centro,53,15,110,10,12,260.00,430.00,13780.00,Normal
10,2025-01-03,Disco SSD Kingston 1TB,Almacenamiento,Global Retail Peru,Almacen Lima Central,16,20,75,15,19,260.00,390.00,4160.00,Critico
11,2025-02-05,Smartphone Samsung A54,Moviles,Distribuidora Andina,Almacen Centro,96,20,85,7,2,1050.00,1450.00,100800.00,Sobrestock
12,2025-02-08,Silla Ergonomica OfficePro,Oficina,Soluciones Logisticas,Almacen Lima Central,36,25,110,12,9,320.00,520.00,11520.00,Normal
13,2025-02-11,Switch TP-Link 8 Puertos,Redes,Mayorista Digital,Almacen Sur,45,30,75,17,16,95.00,155.00,4275.00,Normal
14,2025-02-14,Laptop HP Pavilion,Computo,Distribuidora Andina,Almacen Oriente,54,35,100,22,23,2350.00,3150.00,126900.00,Normal
15,2025-02-17,Teclado Redragon K552,Accesorios,Soluciones Logisticas,Almacen Norte,40,40,125,27,30,75.00,120.00,3000.00,Critico
16,2025-02-20,Tinta Epson Original,Impresion,Mayorista Digital,Almacen Centro,116,45,90,32,37,32.00,55.00,3712.00,Sobrestock
17,2025-02-23,Tablet Samsung Galaxy Tab,Moviles,Distribuidora Andina,Almacen Lima Central,41,10,75,37,44,680.00,950.00,27880.00,Normal
